,DM,PEPTI,GRAN,GABA,GLUTA,GLU-hipp,DOR,ASC,CPC,EP,OLG,MG,VLMC,DT
Synpo2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamts15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Prkcd,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramp3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ptpn3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shox2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldh3b2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rasl11a,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rasd1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc17a6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gbx2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Foxp2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tcf7l2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cbln1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Megf11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cbln4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wnt4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctxn3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lypd6b,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nts,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dlk1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Irs4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dgkk,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gabrq,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otp,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cited1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Agrp,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gpr101,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Asb4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ucn3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Baiap3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pkib,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Trh,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fezf1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tac1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bhlhe22,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tmem114,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ntf3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C1ql2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rasl10a,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Nr3c2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tubgcp2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Neurod1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Drd1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ido1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ppp1r1b,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rgs9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mhrt,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Adora2a,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Penk,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gpr88,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gpr83,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Syt2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nfatc2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Smim17,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Slc32a1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gad2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gm13205,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Myl4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cpne4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nxph3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fezf2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tshz2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lypd1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hs3st2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vipr1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pde1a,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Scube1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dkkl1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Igfbp6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C130074G19Rik,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Satb2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gm11549,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Trim54,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Slc30a3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lmo3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nov,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ndst4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cplx3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hs3st4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nr4a2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rprm,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rell1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3110035E14Rik,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tbr1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kcng1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lamp5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A830009L08Rik,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Krt12,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tcap,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A830036E02Rik,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rorb,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tnnc1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Galntl6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Npnt,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lpl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gm26644,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nr4a3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cabp7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Neurod6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nptx1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Spink8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lefty1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fibcd1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4921539H07Rik,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Myoc,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gfap,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Slc36a2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Aqp4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C4b,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Agt,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Slc6a11,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fgfr3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cldn10,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Apoc1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Igsf1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Itih3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ntsr2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ttr,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Folr1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Clic6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1500015O10Rik,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kl,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ccdc153,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Krt15,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tmem212,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hdc,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dynlrb2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2410004P03Rik,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cfap126,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mlf1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4933407L21Rik,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fam183b,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Opalin,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ninj2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mal,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ppp1r14a,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mog,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hapln2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dock5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Anln,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ugt8a,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gjb1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Prr5l,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P2ry12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gpr34,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Selplg,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tmem119,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Trem2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Casp8,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Csf1r,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ctss,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dcn,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fam180a,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mfap4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Slc6a13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nupr1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Igf2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ptgds,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gjb2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
