"","ASC","CPC","DOPA","GABA","GABA8","GLUTA","MG","NB","OEG","OLG","PEPTI","VLMC","DT"
"Ntsr2",1,0,0,0,0,0,0,0,0,0,0,0,0
"Plpp3",1,0,0,0,0,0,0,0,0,0,0,0,0
"Aldoc",1,0,0,0,0,0,0,0,0,0,0,0,0
"Slc1a3",1,0,0,0,0,0,0,0,0,0,0,0,0
"Gja1",1,0,0,0,0,0,0,0,0,0,0,0,0
"Slc6a11",1,0,0,0,0,0,0,0,0,0,0,0,0
"Gpr37l1",1,0,0,0,0,0,0,0,0,0,0,0,0
"Atp1a2",1,0,0,0,0,0,0,0,0,0,0,0,0
"Pla2g7",1,0,0,0,0,0,0,0,0,0,0,0,0
"Atp1b2",1,0,0,0,0,0,0,0,0,0,0,0,0
"Mt1",1,0,0,0,0,0,0,0,0,0,0,0,0
"Bcan",1,0,0,0,0,0,0,0,0,0,0,0,0
"Sparcl1",1,0,0,0,0,0,0,0,0,0,0,0,0
"Ndrg2",1,0,0,0,0,0,0,0,0,0,0,0,0
"Apoe",1,0,0,0,0,0,0,0,1,0,0,0,0
"Ptprz1",1,0,0,0,0,0,0,0,0,0,0,0,0
"Rcn2",1,0,0,0,0,0,0,0,0,0,0,0,0
"Cst3",1,0,0,0,0,0,1,0,0,0,0,0,0
"Fam107a",1,0,0,0,0,0,0,0,0,0,0,0,0
"Cbs",1,0,0,0,0,0,0,0,0,0,0,0,0
"Mlc1",1,0,0,0,0,0,0,0,0,0,0,0,0
"Hopx",1,0,0,0,0,0,0,0,0,0,0,0,0
"Mfge8",1,0,0,0,0,0,0,0,0,0,0,0,0
"Cldn10",1,0,0,0,0,0,0,0,0,0,0,0,0
"S1pr1",1,0,0,0,0,0,0,0,0,0,0,0,0
"Fjx1",1,0,0,0,0,0,0,0,0,0,0,0,0
"Ttr",0,1,0,0,0,0,0,0,0,0,0,0,0
"1500015O10Rik",0,1,0,0,0,0,0,0,0,0,0,0,0
"Calml4",0,1,0,0,0,0,0,0,0,0,0,0,0
"Kl",0,1,0,0,0,0,0,0,0,0,0,0,0
"Clic6",0,1,0,0,0,0,0,0,0,0,0,0,0
"Folr1",0,1,0,0,0,0,0,0,0,0,0,0,0
"Kcne2",0,1,0,0,0,0,0,0,0,0,0,0,0
"Kcnj13",0,1,0,0,0,0,0,0,0,0,0,0,0
"F5",0,1,0,0,0,0,0,0,0,0,0,0,0
"Prr32",0,1,0,0,0,0,0,0,0,0,0,0,0
"Otx2",0,1,0,0,0,0,0,0,0,0,0,0,0
"Wfdc2",0,1,0,0,0,0,0,0,0,0,0,0,0
"Slc4a5",0,1,0,0,0,0,0,0,0,0,0,0,0
"Tmem72",0,1,0,0,0,0,0,0,0,0,0,0,0
"Lbp",0,1,0,0,0,0,0,0,0,0,0,0,0
"Th",0,0,1,0,0,0,0,0,0,0,0,0,0
"Iqsec3",0,0,1,0,0,0,0,0,0,0,0,0,0
"Ptpro",0,0,1,0,0,0,0,0,0,0,0,0,0
"Gad1",0,0,1,0,0,0,0,0,0,0,0,0,0
"Trh",0,0,1,0,0,0,0,0,0,0,0,0,0
"Pax6",0,0,1,0,0,0,0,0,0,0,0,0,0
"Scgn",0,0,1,0,0,0,0,0,0,0,0,0,0
"Sall3",0,0,1,0,0,0,0,0,0,0,0,0,0
"Sp9",0,0,0,1,0,0,0,0,0,0,0,0,0
"Gng4",0,0,0,1,0,0,0,0,0,0,0,0,0
"Synpr",0,0,0,1,0,0,0,0,0,0,0,0,0
"Cpne4",0,0,0,1,0,0,0,0,0,0,0,0,0
