,spotId,cellCount
1,X102x50,12
2,X19x59,13
3,X94x14,8
4,X9x43,12
5,X13x47,19
6,X0x62,3
7,X97x61,15
8,X28x42,4
9,X42x52,8
10,X83x65,15
11,X4x58,4
12,X79x35,13
13,X91x65,11
14,X59x67,5
15,X70x66,11
16,X113x23,5
17,X67x45,16
2474,X12x64,10
18,X19x45,5
19,X105x71,13
20,X54x62,6
21,X55x55,7
22,X62x24,10
23,X27x51,13
24,X94x44,12
25,X96x42,13
26,X88x14,13
2475,X115x31,10
27,X69x47,10
28,X106x36,9
29,X79x53,14
30,X87x65,14
31,X5x57,5
32,X56x44,10
33,X101x53,14
34,X111x21,10
35,X17x49,13
36,X51x33,6
37,X58x34,9
38,X86x14,9
39,X94x26,11
2476,X115x35,10
2477,X31x55,10
40,X33x47,10
41,X42x28,9
42,X93x51,12
43,X21x45,9
44,X31x29,10
45,X113x49,15
46,X99x27,16
47,X113x17,15
48,X52x64,7
2478,X24x36,10
2479,X14x56,10
49,X113x57,11
50,X96x40,15
51,X70x24,8
52,X92x46,14
53,X82x62,11
54,X68x54,14
55,X92x16,9
56,X8x58,6
57,X73x53,12
58,X76x24,11
59,X104x20,10
60,X65x23,9
61,X94x54,15
62,X92x50,15
63,X39x47,11
64,X42x48,5
65,X40x24,5
66,X109x73,10
67,X74x36,13
68,X113x47,17
69,X61x55,11
70,X44x38,12
71,X92x60,13
72,X92x12,4
73,X93x35,15
74,X41x53,8
75,X66x20,8
2480,X27x29,10
76,X114x68,3
2481,X6x62,10
77,X54x60,13
78,X68x36,8
79,X77x35,13
2482,X29x39,10
80,X80x36,16
81,X109x59,8
82,X39x59,19
83,X90x26,12
84,X73x59,11
85,X69x53,8
86,X107x49,16
87,X73x67,7
88,X35x57,5
89,X68x50,12
90,X73x35,16
91,X81x57,13
92,X48x28,9
93,X109x39,6
94,X87x27,11
95,X38x24,3
96,X46x30,6
2483,X21x63,10
97,X92x26,14
2484,X26x60,10
98,X1x59,11
99,X81x25,12
100,X92x44,12
101,X31x33,4
102,X101x45,13
103,X3x39,10
104,X25x41,5
105,X48x62,8
106,X104x44,15
2485,X27x49,10
107,X80x52,13
108,X85x57,14
109,X104x18,12
110,X34x46,7
111,X106x66,13
112,X70x68,15
113,X30x36,7
114,X38x52,3
115,X100x74,8
2486,X46x52,10
116,X86x48,14
117,X111x19,9
118,X57x57,10
119,X2x46,9
120,X109x49,13
121,X101x27,14
2487,X22x36,10
122,X98x54,17
123,X79x39,12
2488,X114x42,10
124,X109x71,9
125,X83x67,9
126,X16x52,13
127,X110x26,9
128,X10x38,8
129,X92x32,13
130,X15x51,9
131,X30x48,5
132,X78x44,14
133,X47x23,8
134,X93x23,8
135,X101x25,19
136,X59x25,4
137,X97x19,12
138,X27x55,10
139,X108x68,13
140,X50x40,8
141,X66x58,14
142,X5x59,9
143,X63x51,7
144,X91x23,13
2489,X9x63,10
145,X58x66,9
146,X76x66,9
147,X63x49,8
148,X83x45,17
149,X102x64,14
150,X91x13,10
2490,X16x64,10
151,X4x46,19
152,X97x63,14
153,X82x50,9
154,X84x44,16
155,X72x32,7
2491,X26x30,10
156,X75x49,12
157,X37x29,8
158,X87x61,11
159,X76x44,13
2492,X20x42,10
160,X32x36,4
161,X31x57,7
162,X97x51,13
163,X82x28,13
164,X56x24,6
165,X90x44,15
166,X16x60,4
167,X50x24,10
168,X43x25,9
169,X111x41,11
170,X71x31,12
171,X71x27,8
172,X110x58,14
173,X48x52,6
174,X24x52,13
175,X99x59,11
176,X95x69,13
177,X87x53,8
178,X39x51,4
179,X14x46,8
180,X9x59,4
181,X63x21,9
182,X57x55,8
183,X102x42,18
184,X62x42,13
185,X37x41,7
186,X81x45,13
2493,X104x40,10
187,X61x51,12
188,X99x73,12
189,X115x17,22
190,X110x20,12
191,X97x65,15
192,X49x53,11
193,X106x70,11
194,X78x56,10
195,X54x30,7
196,X107x41,9
197,X76x48,17
198,X4x38,3
199,X94x48,15
200,X56x38,7
201,X12x44,13
202,X42x42,11
203,X86x30,13
204,X37x37,7
205,X100x60,14
206,X65x57,5
207,X100x38,16
208,X48x42,12
209,X54x58,4
210,X40x56,14
211,X99x69,9
212,X84x48,20
2494,X115x21,10
2495,X11x57,10
213,X67x61,6
214,X66x28,12
215,X79x71,11
216,X92x36,14
217,X79x51,8
218,X106x44,15
219,X98x46,16
220,X15x59,4
2496,X5x63,10
221,X30x50,6
222,X30x32,5
223,X113x41,16
224,X58x68,20
225,X107x55,14
226,X112x34,3
2497,X18x46,10
2498,X24x32,10
227,X93x71,11
228,X18x50,11
2499,X13x57,10
2500,X104x28,10
229,X80x22,14
230,X63x25,8
2501,X102x36,10
231,X43x37,6
232,X47x63,6
233,X109x25,6
234,X102x56,15
235,X61x33,12
236,X73x17,12
237,X102x72,13
238,X71x43,11
239,X59x49,11
240,X31x41,3
241,X62x34,11
242,X100x28,9
2502,X13x39,10
243,X101x73,8
244,X75x61,10
245,X108x18,14
246,X79x57,11
247,X60x52,10
248,X55x53,9
249,X77x49,13
250,X11x61,3
251,X25x47,3
252,X97x71,13
253,X67x33,12
254,X72x70,6
255,X97x41,19
256,X6x44,15
257,X4x52,17
258,X63x17,3
259,X69x41,10
260,X39x39,5
261,X113x33,16
262,X44x60,10
263,X95x65,17
2503,X17x63,10
264,X41x25,8
265,X56x60,12
266,X104x50,9
267,X105x13,13
268,X108x38,4
269,X113x53,14
270,X41x59,16
271,X86x60,13
272,X69x25,10
273,X17x47,4
274,X104x32,8
275,X69x57,12
276,X70x48,16
277,X90x70,10
