"","B_lymph","Collecting_Duct","DC","Endothelial","LoH","Mesenchymal_Stroma","Myeloid","NK","PCT_a","PCT_c","PCT","PEC","Smooth_Muscle_Cell","Transitional_Epithelium","DT"
"H2-Aa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2-Ab1",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Cd74",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Btg1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2-Eb1",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Shisa5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aqp3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhbg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hsd11b2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tfcp2l1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aif1l",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp6v1g3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aqp2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhcg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Itpr2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fxyd4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gata3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp6v1a",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmem45b",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pam",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Car12",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp6v1c2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp6v0d2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wfdc15b",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Clu",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pvalb",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Hnrnpr",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Slit2",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Sema5a",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Wfdc2",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Sostdc1",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Cryab",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cald1",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Sgms2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pax2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rasl11b",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ppp1r1a",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Tfap2b",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Tns3",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Lcn2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Klk1",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Ptpn14",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Egf",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Tmem72",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Kng2",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Ranbp3l",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Slc12a1",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Aqp1",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Sfrp1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Trpm6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Slc12a3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Wnk1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Umod",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Slc16a7",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Ly6c1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Flt1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Fabp4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Egfl7",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Plat",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Plvap",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ehd3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Kdr",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pbx1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Igfbp5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rsad2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ptprb",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Igfbp3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Emcn",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sparc",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tm4sf1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cldn19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ppp1r1b",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tmem207",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ptger3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Lhfp",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dlc1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Serpine2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Fhl2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Myh11",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Cfh",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Tpm1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lgals3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tmsb10",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Ly6c2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tmsb4x",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Cd14",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Fcgr3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Fcgr2b",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Ctss",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pparg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"H2-K1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Cybb",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Rps27",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Csf1r",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Rac2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Arpc1b",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Fcer1g",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AW112010",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"B2m",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Slc5a2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Akr1c21",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Spp2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Nox4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Slc7a7",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Miox",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Slc6a19",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Slc34a1",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Gpx3",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Apoe",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Clec2h",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Aldob",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Gatm",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Tmem27",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ass1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Slc5a1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Serpinf2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Acy3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Slc7a13",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Kap",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tnfrsf21",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Keg1",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Ppic",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Haao",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Hgd",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Hsd11b1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cndp2",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Osgin1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Slco1a6",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gldc",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Slc17a3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Dbi",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Atp11a",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Slc6a18",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cyp2e1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Hnf4a",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Slc5a8",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cyp4b1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Gramd1b",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mep1a",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Gsta2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Pdzk1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Upb1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cryl1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Glyat",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Nat8",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cd36",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Agxt2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ghr",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Napsa",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Sod3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Acsm3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Gc",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Sord",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ltbp4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Crip1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Vim",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Sema3g",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cldn5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Mgp",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
