"","T1","T2","T3","T4","T5","T6","T7"
"G1",1,0,0,0,0,0,0
"G2",1,0,0,0,0,0,0
"G3",1,0,0,0,0,0,0
"G4",1,0,0,0,0,0,0
"G5",1,0,0,0,0,0,0
"G6",1,0,0,0,0,0,0
"G7",1,0,0,0,0,0,0
"G8",1,0,0,0,0,0,0
"G9",1,0,0,0,0,0,0
"G10",1,0,0,0,0,0,0
"G11",1,0,0,0,0,0,0
"G12",0,1,0,0,0,0,0
"G13",0,1,0,0,0,0,0
"G14",0,1,0,0,0,0,0
"G15",0,1,0,0,0,0,0
"G16",0,1,0,0,0,0,0
"G17",0,1,0,0,0,0,0
"G18",0,1,0,0,0,0,0
"G19",0,1,0,0,0,0,0
"G20",0,1,0,0,0,0,0
"G21",0,1,0,0,0,0,0
"G22",0,1,0,0,0,0,0
"G23",0,1,0,0,0,0,0
"G24",0,1,0,0,0,0,0
"G25",0,1,0,0,0,0,0
"G26",0,1,0,0,0,0,0
"G27",0,0,1,0,0,0,0
"G28",0,0,1,0,0,0,0
"G29",0,0,1,0,0,0,0
"G30",0,0,1,0,0,0,0
"G31",0,0,1,0,0,0,0
"G32",0,0,1,0,0,0,0
"G33",0,0,1,0,0,0,0
"G34",0,0,1,0,0,0,0
"G35",0,0,1,0,0,0,0
"G36",0,0,1,0,0,0,0
"G37",0,0,1,0,0,0,0
"G38",0,0,1,0,0,0,0
"G39",0,0,1,0,0,0,0
"G40",0,0,1,0,0,0,0
"G41",0,0,1,0,0,0,0
"G42",0,0,1,0,0,0,0
"G43",0,0,1,0,0,0,0
"G44",0,0,1,0,0,0,0
"G45",0,0,1,0,0,0,0
"G46",0,0,1,0,0,0,0
"G47",0,0,0,1,0,0,0
"G48",0,0,0,1,0,0,0
"G49",0,0,0,1,0,0,0
"G50",0,0,0,1,0,0,0
"G51",0,0,0,1,0,0,0
"G52",0,0,0,1,0,0,0
"G53",0,0,0,1,0,0,0
"G54",0,0,0,1,0,0,0
"G55",0,0,0,1,0,0,0
"G56",0,0,0,1,0,0,0
"G57",0,0,0,1,0,0,0
"G58",0,0,0,1,0,0,0
"G59",0,0,0,1,0,0,0
"G60",0,0,0,1,0,0,0
"G61",0,0,0,1,0,0,0
"G62",0,0,0,1,0,0,0
"G63",0,0,0,1,0,0,0
"G64",0,0,0,1,0,0,0
"G65",0,0,0,1,0,0,0
"G66",0,0,0,1,0,0,0
"G67",0,0,0,1,0,0,0
"G68",0,0,0,1,0,0,0
"G69",0,0,0,1,0,0,0
"G70",0,0,0,1,0,0,0
"G71",0,0,0,1,0,0,0
"G72",0,0,0,1,0,0,0
"G73",0,0,0,1,0,0,0
"G74",0,0,0,0,1,0,0
"G75",0,0,0,0,1,0,0
"G76",0,0,0,0,1,0,0
"G77",0,0,0,0,1,0,0
"G78",0,0,0,0,1,0,0
"G79",0,0,0,0,1,0,0
"G80",0,0,0,0,1,0,0
"G81",0,0,0,0,1,0,0
"G82",0,0,0,0,1,0,0
"G83",0,0,0,0,1,0,0
"G84",0,0,0,0,1,0,0
"G85",0,0,0,0,1,0,0
"G86",0,0,0,0,1,0,0
"G87",0,0,0,0,1,0,0
"G88",0,0,0,0,1,0,0
"G89",0,0,0,0,1,0,0
"G90",0,0,0,0,1,0,0
"G91",0,0,0,0,1,0,0
"G92",0,0,0,0,1,0,0
"G93",0,0,0,0,1,0,0
"G94",0,0,0,0,1,0,0
"G95",0,0,0,0,1,0,0
"G96",0,0,0,0,1,0,0
"G97",0,0,0,0,1,0,0
"G98",0,0,0,0,1,0,0
"G99",0,0,0,0,1,0,0
"G100",0,0,0,0,1,0,0
"G101",0,0,0,0,1,0,0
"G102",0,0,0,0,1,0,0
"G103",0,0,0,0,1,0,0
"G104",0,0,0,0,1,0,0
"G105",0,0,0,0,1,0,0
"G106",0,0,0,0,1,0,0
"G107",0,0,0,0,1,0,0
"G108",0,0,0,0,1,0,0
"G109",0,0,0,0,1,0,0
"G110",0,0,0,0,1,0,0
"G111",0,0,0,0,0,1,0
"G112",0,0,0,0,0,1,0
"G113",0,0,0,0,0,1,0
"G114",0,0,0,0,0,1,0
"G115",0,0,0,0,0,1,0
"G116",0,0,0,0,0,1,0
"G117",0,0,0,0,0,1,0
"G118",0,0,0,0,0,1,0
"G119",0,0,0,0,0,1,0
"G120",0,0,0,0,0,1,0
"G121",0,0,0,0,0,1,0
"G122",0,0,0,0,0,1,0
"G123",0,0,0,0,0,1,0
"G124",0,0,0,0,0,1,0
"G125",0,0,0,0,0,1,0
"G126",0,0,0,0,0,1,0
"G127",0,0,0,0,0,1,0
"G128",0,0,0,0,0,1,0
"G129",0,0,0,0,0,1,0
"G130",0,0,0,0,0,1,0
"G131",0,0,0,0,0,1,0
"G132",0,0,0,0,0,1,0
"G133",0,0,0,0,0,1,0
"G134",0,0,0,0,0,1,0
"G135",0,0,0,0,0,1,0
"G136",0,0,0,0,0,1,0
"G137",0,0,0,0,0,1,0
"G138",0,0,0,0,0,1,0
"G139",0,0,0,0,0,1,0
"G140",0,0,0,0,0,1,0
"G141",0,0,0,0,0,1,0
"G142",0,0,0,0,0,1,0
"G143",0,0,0,0,0,1,0
"G144",0,0,0,0,0,1,0
"G145",0,0,0,0,0,1,0
"G146",0,0,0,0,0,1,0
"G147",0,0,0,0,0,1,0
"G148",0,0,0,0,0,1,0
"G149",0,0,0,0,0,1,0
"G150",0,0,0,0,0,1,0
"G151",0,0,0,0,0,1,0
"G152",0,0,0,0,0,1,0
"G153",0,0,0,0,0,1,0
"G154",0,0,0,0,0,1,0
"G155",0,0,0,0,0,1,0
"G156",0,0,0,0,0,1,0
"G157",0,0,0,0,0,1,0
"G158",0,0,0,0,0,1,0
"G159",0,0,0,0,0,1,0
"G160",0,0,0,0,0,1,0
