"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440","V441","V442","V443","V444","V445","V446","V447","V448","V449","V450","V451","V452","V453","V454","V455","V456","V457","V458","V459","V460","V461","V462","V463","V464","V465","V466","V467","V468","V469","V470","V471","V472","V473","V474","V475","V476","V477","V478","V479","V480","V481","V482","V483","V484","V485","V486","V487","V488","V489","V490","V491","V492","V493","V494","V495","V496","V497","V498","V499","V500"
"1",50,68,46,43,27,6,5,5,5,10,4,7,10,6,11,18,8,9,87,6,45,8,89,3,6,1,41,4,7,35,6,5,4,7,6,34,26,6,14,48,9,5,4,40,24,13,5,4,9,84,74,7,8,78,23,27,12,2,7,6,5,6,6,2,4,19,4,5,5,4,30,3,11,23,17,80,7,35,11,21,22,9,16,7,58,5,6,7,17,11,85,2,11,6,32,6,7,5,7,55,8,6,7,43,9,39,21,6,9,29,10,6,4,6,30,74,10,26,7,6,26,11,6,9,73,42,5,8,8,6,17,5,6,1,39,27,12,22,7,50,8,8,1,5,3,46,8,12,7,2,43,63,35,30,6,27,27,7,49,36,18,33,36,5,1,3,37,5,8,4,22,9,3,24,3,42,11,7,48,11,40,22,4,5,6,6,9,5,2,7,7,5,3,31,7,75,6,44,80,16,7,2,10,7,39,6,7,49,5,11,37,8,2,5,9,2,82,7,4,13,7,24,1,2,14,22,7,11,31,7,5,6,16,5,82,31,13,7,47,2,5,10,3,27,9,3,9,87,7,30,53,42,43,8,10,45,4,4,84,10,52,5,6,5,11,9,5,8,41,9,101,13,79,6,9,37,8,6,38,49,10,10,51,77,5,6,9,65,113,41,7,2,8,12,8,1,2,32,1,49,4,30,46,4,6,4,6,54,7,9,5,6,36,46,4,115,4,4,6,11,3,31,7,6,4,5,58,6,53,3,7,5,5,1,2,13,4,7,59,7,88,11,7,10,36,64,9,9,17,41,24,5,5,46,93,9,72,58,4,44,14,16,4,10,16,14,45,15,19,42,6,18,4,9,101,60,6,6,22,23,37,19,1,90,16,42,4,4,13,8,5,29,10,84,2,23,10,21,6,11,25,17,5,10,10,8,9,34,1,12,41,2,8,29,6,22,6,5,63,81,11,16,8,8,9,56,3,21,31,5,6,7,3,3,34,11,4,49,31,54,6,8,19,8,7,6,3,6,36,105,4,8,11,25,79,6,4,72,8,7,2,9,47,3,4,3,12,3,31,1,68,6,81,5,18,7,7,5,5,27,67,7,7,77,6,6,8,4,13,12,6,8,3,34,36,8,5,58,143,75
"2",27,40,21,20,18,8,3,6,4,8,3,4,4,8,9,6,11,7,34,8,21,3,33,4,11,6,17,7,12,17,5,8,9,7,8,14,14,4,10,21,5,5,7,29,4,7,2,6,8,44,47,3,7,28,8,17,6,4,6,9,7,4,5,6,4,8,6,8,1,5,13,4,4,10,7,40,2,26,10,17,8,10,10,9,22,4,5,3,9,14,38,4,5,1,19,0,4,3,4,31,7,6,10,22,7,25,12,10,11,13,8,3,5,5,16,34,12,22,7,4,12,8,5,11,47,25,10,9,11,7,10,7,6,5,13,21,11,12,3,25,11,7,1,5,5,31,8,16,6,3,27,27,15,19,3,8,20,6,20,16,13,15,15,8,7,7,19,9,7,1,21,8,6,11,1,17,9,4,22,9,17,18,9,7,10,6,9,4,2,4,5,7,3,12,3,27,7,16,27,21,5,11,14,4,12,8,10,30,4,9,16,5,8,2,6,8,46,8,6,5,12,17,1,10,12,12,6,11,18,5,5,6,14,5,40,25,7,8,21,7,8,9,3,20,8,8,9,49,5,19,25,26,19,9,7,17,5,4,37,9,16,10,7,13,10,6,7,4,22,3,53,7,31,4,2,18,3,8,14,18,4,11,25,42,7,3,6,54,61,25,6,2,8,9,3,4,2,19,6,22,3,23,18,3,5,2,8,15,11,3,9,5,12,31,7,51,15,2,2,15,4,11,6,5,7,11,20,9,25,4,3,7,4,2,1,16,5,4,27,10,33,13,2,2,21,24,6,8,4,21,15,4,2,34,40,8,23,24,6,21,10,18,3,7,19,8,24,11,8,26,17,13,4,6,28,41,6,3,18,13,26,10,6,42,6,25,5,3,6,4,4,19,10,36,4,13,15,8,1,8,14,6,5,9,8,6,5,28,6,9,12,4,6,19,10,13,8,9,21,33,4,5,6,16,2,39,5,15,16,4,4,7,8,13,17,10,4,26,22,20,9,6,15,8,11,7,4,7,19,32,9,15,10,16,40,6,6,32,6,11,6,9,20,10,7,6,14,2,12,3,29,5,43,4,6,1,13,11,4,15,31,7,5,37,8,8,7,7,10,11,4,9,9,22,20,8,7,26,42,36
"3",29,36,19,19,15,11,6,6,6,6,11,9,0,8,9,8,6,3,49,6,25,11,58,5,6,5,19,10,3,20,4,4,7,7,0,24,14,9,4,23,8,6,5,27,19,2,5,5,4,31,28,9,9,38,19,7,5,6,3,6,5,10,4,5,4,13,12,11,7,3,13,10,9,16,10,37,2,29,4,17,12,5,10,11,27,5,7,13,4,12,41,4,7,2,12,4,7,4,6,29,5,4,12,25,4,25,16,9,6,18,9,2,2,5,23,33,11,22,2,8,13,11,9,10,48,17,12,7,4,6,12,7,6,7,21,19,9,10,10,25,10,10,2,4,5,20,5,9,5,5,13,30,28,19,3,15,17,5,27,18,17,10,14,6,7,4,24,5,6,6,19,6,5,14,5,25,16,4,16,12,16,11,9,6,10,6,5,10,5,6,6,7,8,16,4,44,6,22,36,20,6,4,5,1,10,10,12,30,4,7,16,12,6,9,7,10,33,8,3,9,6,27,5,5,11,18,8,6,22,10,4,5,17,3,39,25,12,11,27,6,6,5,7,16,6,7,5,44,5,16,21,25,19,7,9,22,8,8,33,12,33,3,6,7,10,5,4,4,25,4,46,8,41,6,6,15,6,3,14,25,10,11,27,36,5,4,9,50,52,25,9,5,8,6,3,2,5,15,6,27,7,23,21,5,3,6,4,20,6,8,4,8,26,26,6,60,9,4,6,5,8,9,8,5,9,7,26,9,17,7,5,7,5,5,8,16,1,4,26,19,42,10,4,8,20,36,15,4,11,13,4,5,2,32,52,12,25,19,4,27,10,18,5,6,19,7,22,18,9,23,10,16,3,7,43,32,2,10,14,16,24,14,6,32,12,27,7,5,12,5,4,19,11,55,6,5,8,14,9,10,16,7,5,8,5,5,5,13,3,8,21,6,4,15,7,16,4,3,27,43,2,13,3,6,5,30,7,11,10,10,2,2,7,5,16,9,5,21,21,16,9,5,11,4,8,9,8,10,22,52,5,2,2,13,45,8,5,31,6,9,2,8,30,6,7,4,10,1,13,3,26,3,52,4,10,3,15,6,3,15,27,11,4,35,7,2,5,8,7,6,5,8,6,20,12,2,5,17,55,33
"4",21,30,19,19,16,8,3,6,5,14,5,5,6,9,14,11,9,7,27,5,27,3,50,5,7,7,14,4,3,23,7,4,4,7,6,13,14,8,8,21,10,4,4,28,12,2,7,4,5,40,46,3,7,38,9,13,9,2,6,6,3,7,7,7,6,7,4,6,8,6,16,4,5,11,6,44,5,16,13,12,12,9,11,7,19,4,6,11,9,8,45,15,3,6,23,5,11,5,9,24,5,11,6,19,7,13,9,11,4,12,10,2,2,6,25,32,12,25,5,9,12,10,9,5,45,25,13,4,10,11,14,5,4,4,18,18,5,8,7,17,11,10,4,2,4,22,4,7,9,7,12,43,18,23,8,13,20,4,26,22,13,12,23,6,6,6,13,6,5,3,16,3,2,13,2,17,8,4,17,9,12,15,6,6,6,8,11,5,2,4,5,5,2,10,6,39,5,27,29,20,12,8,8,3,11,6,10,26,6,7,7,7,3,5,5,8,33,9,5,13,8,24,4,9,6,9,7,7,10,3,3,5,9,3,37,21,5,6,18,2,1,10,3,22,8,6,11,41,6,17,31,23,9,10,3,22,7,7,36,13,28,10,1,9,7,5,3,5,26,6,33,8,44,5,7,17,4,9,21,26,6,8,25,34,4,5,3,43,58,24,3,6,8,6,4,2,6,17,5,23,4,21,19,4,1,8,3,16,8,9,6,9,22,26,7,43,6,5,2,10,6,7,5,5,6,8,24,8,24,2,8,6,11,6,5,13,4,12,19,7,40,10,6,4,22,23,6,9,9,8,16,11,8,28,44,4,25,26,3,23,9,15,6,8,11,5,23,15,9,19,10,8,7,11,32,24,2,7,7,13,16,14,2,29,6,38,10,7,8,10,5,13,11,28,3,13,7,8,9,10,14,6,5,4,3,14,8,21,4,8,34,6,4,15,6,11,3,7,32,45,6,8,7,9,4,30,7,12,17,4,7,5,5,14,17,8,4,23,11,21,9,9,9,6,6,4,4,3,9,52,6,7,4,13,39,9,9,34,7,6,3,8,25,8,7,5,8,3,15,11,27,5,42,3,12,9,4,7,6,15,26,9,5,45,6,9,7,4,9,6,4,6,7,17,20,5,7,17,50,31
"5",25,37,17,23,19,8,10,8,4,9,4,9,5,10,17,10,4,6,34,2,22,8,45,6,5,5,16,3,9,17,5,5,7,6,6,21,20,9,6,19,15,6,6,33,16,10,3,4,10,35,38,8,9,39,11,9,5,4,5,8,0,2,6,6,7,7,2,6,1,1,18,8,4,11,8,39,3,16,12,6,13,6,10,4,26,2,6,9,8,11,46,1,8,6,15,4,12,0,12,20,13,12,11,16,3,33,9,11,8,16,10,8,7,5,22,33,12,17,6,8,14,7,2,9,51,23,10,4,8,2,16,6,13,3,11,11,9,12,3,23,7,5,3,9,9,25,5,13,10,6,14,33,26,17,4,14,13,5,32,15,11,11,16,5,6,9,23,8,5,11,24,4,8,14,4,21,12,4,30,8,14,23,4,7,13,6,5,7,2,6,4,7,6,19,5,31,10,18,40,17,9,6,3,3,16,12,15,26,4,7,13,9,3,3,8,7,30,5,9,10,4,21,10,6,3,13,6,6,13,3,4,0,9,5,41,17,7,8,22,8,4,8,8,16,6,2,5,39,12,25,38,19,21,13,12,30,5,5,34,9,25,6,6,6,7,3,4,7,22,9,52,6,31,10,4,19,11,6,25,22,10,4,28,36,5,5,8,33,63,20,7,9,5,7,8,2,4,16,1,27,8,21,15,3,4,1,2,24,2,9,8,8,18,24,1,63,5,4,4,10,8,13,4,1,6,5,27,5,16,4,2,7,9,7,3,5,5,11,25,9,36,11,3,10,18,31,8,4,6,13,14,13,3,41,45,4,33,17,5,21,6,15,7,4,11,8,16,15,8,30,8,12,3,5,38,29,6,3,21,18,16,10,5,39,9,20,3,8,11,7,6,24,7,32,5,18,9,17,6,7,12,7,12,4,3,7,5,23,3,13,32,7,4,16,5,18,4,7,25,22,5,5,10,5,10,25,7,13,22,8,6,2,5,10,17,7,4,19,25,28,11,4,16,6,5,3,7,6,22,57,10,8,6,19,36,10,7,43,3,8,8,11,18,12,8,3,12,4,18,6,30,6,48,4,9,3,8,8,3,7,25,12,5,49,5,4,9,11,10,6,3,9,11,12,16,11,3,33,74,36
"6",21,47,24,27,15,7,6,7,5,6,3,6,6,6,16,11,5,7,51,7,28,5,54,5,5,6,23,5,9,28,7,5,3,5,8,18,19,3,7,36,9,3,7,41,17,8,3,4,6,44,50,2,5,49,12,22,7,6,3,10,7,10,6,5,2,12,6,3,11,4,22,5,3,23,14,43,2,22,9,13,18,10,8,10,19,1,3,6,14,16,61,6,6,6,23,7,12,2,9,45,6,2,9,28,5,21,17,11,6,20,4,4,7,5,33,41,8,18,4,10,16,6,3,12,69,30,7,3,7,5,7,8,11,6,28,16,9,18,9,36,8,8,3,2,7,29,4,10,9,4,27,36,31,26,2,13,25,10,33,19,18,19,20,8,3,13,31,8,7,5,19,8,6,13,5,40,8,8,33,8,18,19,6,7,10,8,7,1,7,6,6,9,4,24,7,46,14,26,44,17,9,6,9,8,10,2,13,42,8,11,21,7,5,0,5,7,56,6,9,11,7,30,10,11,8,20,12,1,17,2,1,3,13,6,66,22,8,7,32,3,3,7,7,21,7,4,3,61,7,21,36,35,23,7,8,32,9,3,44,8,36,6,8,8,6,6,6,9,29,3,62,6,46,2,4,19,5,5,21,29,7,5,29,41,7,5,7,57,95,35,3,9,8,7,7,3,7,15,7,39,4,31,35,11,3,6,5,29,10,5,2,8,23,32,8,60,5,5,4,4,8,14,5,11,5,11,45,5,25,1,3,6,9,4,4,17,11,6,34,9,48,14,3,4,31,48,4,3,10,15,14,2,4,38,61,7,43,48,10,25,9,14,10,15,14,9,40,17,12,28,8,15,5,1,63,52,8,4,20,16,18,11,4,65,11,31,6,8,10,9,3,20,10,51,4,16,9,18,7,12,15,8,5,7,4,5,7,31,3,6,35,6,8,29,7,14,2,5,25,56,10,12,5,9,5,39,6,11,18,2,4,6,4,9,23,4,2,40,30,32,6,8,14,5,8,6,5,6,20,73,4,14,7,19,57,4,4,42,9,13,8,10,25,2,4,6,13,5,24,2,41,6,68,5,14,3,10,5,4,18,43,10,3,64,5,4,2,5,8,6,6,11,9,19,27,3,3,26,79,64
"7",25,53,23,20,17,8,1,10,2,9,6,6,5,10,8,8,8,4,55,9,28,5,44,4,15,7,29,3,8,31,11,4,7,8,3,19,17,1,8,35,13,9,6,30,16,9,1,3,10,54,59,6,10,56,16,18,4,10,1,8,5,7,8,5,4,9,5,5,3,6,18,4,8,19,13,48,3,34,11,12,16,8,10,9,19,6,8,9,14,11,71,10,6,8,23,7,6,3,5,32,4,10,8,21,5,29,17,11,12,26,8,4,6,3,32,33,8,22,6,9,22,8,8,8,65,31,10,8,3,8,6,5,5,5,31,34,3,14,1,32,6,5,4,5,3,31,5,10,6,4,19,53,32,22,3,12,26,11,32,15,19,17,16,6,5,7,24,12,8,5,28,8,4,21,3,31,14,7,21,9,19,19,8,6,3,11,6,5,5,4,5,6,4,12,5,41,4,27,43,15,8,9,3,2,20,8,18,33,9,11,17,5,5,7,6,16,43,6,3,10,5,35,5,10,8,15,10,9,20,8,5,2,13,7,48,29,4,8,26,6,6,4,2,26,5,4,3,68,5,27,29,29,27,7,14,36,5,8,60,4,41,2,5,6,6,2,8,1,28,3,53,5,43,5,8,20,7,5,31,19,6,9,41,59,2,4,9,57,77,25,8,14,9,3,4,2,3,21,3,29,2,28,21,3,5,3,5,16,4,9,9,4,22,26,1,83,3,8,0,12,6,14,9,6,4,6,35,9,31,3,2,3,5,5,1,14,5,7,46,6,57,15,1,5,33,38,6,12,15,21,9,4,5,37,52,12,32,39,7,30,12,20,6,8,15,13,23,19,17,23,11,17,4,5,77,44,11,3,22,22,26,16,9,56,13,36,6,7,7,7,4,15,3,51,7,25,8,15,10,12,9,15,3,9,5,7,6,28,5,13,24,4,5,21,5,18,4,4,27,58,7,12,5,10,5,44,5,18,16,1,7,4,6,5,30,15,7,34,25,34,9,8,10,7,4,7,4,9,24,72,4,5,5,18,55,8,4,42,8,7,7,11,39,2,9,5,5,2,17,7,45,8,50,9,12,8,12,11,3,21,45,8,8,60,7,7,5,9,12,10,6,9,2,27,32,12,9,40,77,59
"8",36,44,25,19,25,8,6,9,4,9,3,3,5,6,15,12,3,5,57,9,29,10,61,5,7,6,22,11,5,25,8,3,6,6,10,14,23,5,7,31,10,5,7,28,19,7,3,3,10,53,55,8,6,54,16,22,2,11,2,8,4,2,7,4,5,9,5,5,3,3,11,8,3,11,9,45,4,19,13,15,20,11,11,6,23,8,7,10,7,10,58,6,7,6,18,7,8,4,4,43,9,4,4,26,5,25,20,8,8,21,6,3,3,8,21,43,8,20,5,17,10,9,3,7,55,33,12,6,9,7,13,13,6,6,16,21,7,19,5,29,2,6,3,6,7,36,6,15,8,4,26,34,27,19,2,16,17,7,28,28,18,25,19,4,3,7,37,12,8,8,22,6,5,16,4,29,8,12,23,6,23,17,7,9,7,7,6,4,5,9,2,8,6,17,4,31,8,28,41,17,11,1,5,1,15,13,19,29,8,5,20,4,4,5,3,9,47,5,7,4,8,28,3,5,7,12,8,6,21,4,4,8,12,5,45,42,7,6,28,10,5,12,3,17,3,1,10,59,6,24,20,26,25,8,6,32,4,6,46,10,26,7,7,7,4,8,7,4,29,8,46,8,48,7,2,17,15,4,21,23,7,6,27,52,3,5,5,52,74,36,8,9,10,2,7,4,3,21,8,30,2,32,26,6,4,2,4,24,10,13,6,8,22,24,5,59,8,5,6,3,9,14,8,11,11,6,29,7,21,5,3,5,5,2,6,11,4,3,41,8,50,9,3,7,17,41,9,4,16,36,16,7,6,33,56,7,43,34,7,30,8,19,4,6,16,13,26,22,7,30,5,13,3,6,55,46,1,8,17,20,23,19,7,41,9,37,6,8,4,10,1,15,7,59,8,15,8,12,12,7,9,6,3,7,11,7,5,25,5,11,21,7,6,13,7,22,3,4,27,45,12,9,8,8,3,34,8,12,16,5,8,5,4,8,15,7,2,29,30,43,5,4,15,7,11,9,14,10,23,57,6,4,10,11,52,2,9,53,8,8,6,11,28,4,6,4,12,1,17,6,33,3,56,6,11,0,7,6,4,22,38,5,3,40,3,8,2,6,9,5,4,7,11,20,28,5,4,41,70,43
"9",42,67,38,43,24,1,5,7,5,4,2,7,3,17,16,17,5,8,89,5,39,2,82,6,6,6,34,12,6,29,5,11,7,9,3,32,30,9,11,56,7,6,6,56,33,9,5,11,9,98,95,4,7,74,28,19,8,3,4,10,5,5,5,4,5,11,5,8,5,1,23,5,6,21,9,89,4,40,22,27,19,7,15,3,50,1,6,8,15,15,116,15,4,5,38,8,13,4,8,56,14,9,7,46,11,60,19,13,13,37,10,1,3,2,43,62,5,53,8,5,24,13,4,11,118,42,17,0,9,5,14,14,3,3,30,30,12,25,8,46,8,8,5,7,5,57,5,22,8,4,43,80,56,30,8,26,45,7,70,46,34,23,44,4,2,5,39,5,8,8,45,5,8,21,3,52,13,4,42,12,39,35,3,6,4,7,14,3,5,6,9,18,8,34,7,87,9,46,77,31,6,8,11,3,29,3,11,50,5,7,28,7,9,6,5,6,99,5,6,13,1,29,5,0,7,19,7,4,16,9,4,5,21,6,101,45,9,15,49,8,5,11,4,28,10,3,5,107,3,32,51,52,53,7,9,42,6,7,86,17,70,6,2,7,10,6,9,9,58,10,100,6,79,9,3,37,14,6,42,51,4,10,63,74,3,6,8,90,113,47,4,15,8,3,8,3,7,30,3,57,4,54,39,4,4,7,6,39,13,10,2,9,30,38,5,111,10,2,5,10,6,37,2,5,9,8,59,8,40,9,6,11,12,5,5,19,9,6,66,9,86,12,4,5,36,82,10,3,15,31,26,6,1,53,96,7,74,76,3,46,9,21,4,14,22,26,47,33,16,43,6,34,8,9,97,72,3,4,36,30,44,22,4,102,15,69,4,3,8,3,7,21,5,92,1,31,8,23,5,9,21,12,6,8,4,3,8,36,5,6,49,5,9,53,11,32,5,6,49,87,7,18,3,5,8,85,8,25,28,3,4,3,2,7,30,16,1,53,41,46,7,5,28,3,7,7,6,6,41,104,6,6,4,26,85,5,5,71,7,7,3,14,42,4,6,3,14,3,20,7,58,8,114,5,32,5,14,11,2,38,56,8,4,93,5,5,7,8,21,5,8,4,6,28,35,5,8,67,116,73
"10",16,32,24,18,16,9,3,4,9,7,9,2,7,4,9,12,11,2,55,8,14,11,33,11,8,6,19,5,10,27,6,4,11,4,6,15,15,8,6,19,15,10,6,27,24,4,7,3,6,45,54,7,6,35,10,23,3,11,4,4,7,7,6,7,7,17,6,12,4,4,20,13,4,11,12,46,3,10,3,8,20,7,15,10,15,3,6,7,13,12,46,4,10,2,14,5,4,8,12,17,8,11,7,25,6,18,9,6,15,23,3,3,8,9,21,27,10,23,6,6,15,5,3,8,40,13,9,4,9,4,10,6,5,4,26,22,10,16,10,24,7,4,8,3,2,24,7,11,7,5,15,40,14,26,9,12,17,8,30,16,21,18,16,5,3,6,21,8,7,5,21,4,5,12,5,18,8,7,21,6,16,14,8,4,11,12,12,1,11,7,5,9,2,13,1,24,9,24,28,21,4,11,4,7,17,10,10,19,7,5,21,6,5,7,6,4,38,2,3,10,2,13,5,5,9,18,12,3,14,5,4,6,8,8,50,18,5,6,28,6,2,12,3,22,2,1,3,32,10,18,23,19,29,6,10,15,6,3,27,13,24,5,3,8,9,7,5,5,20,7,45,9,34,2,4,11,4,5,22,15,10,9,25,34,9,9,7,39,58,23,8,14,13,3,5,2,7,15,7,24,5,28,11,5,3,7,7,15,7,7,8,8,9,21,6,56,9,4,6,9,4,16,5,4,8,4,31,11,21,6,4,12,6,3,3,9,5,1,25,11,46,12,8,7,17,38,9,8,11,12,16,8,4,33,48,11,32,24,7,23,6,12,5,6,14,10,28,15,11,18,6,16,4,7,47,44,4,6,15,15,20,9,4,33,14,18,4,5,7,8,5,13,5,35,3,10,6,17,5,9,11,8,11,6,5,6,6,17,4,3,24,5,7,19,9,11,3,4,19,34,9,14,6,9,9,32,6,18,10,6,5,2,7,5,14,10,2,20,19,17,3,11,16,4,6,9,4,11,21,45,2,15,4,6,34,4,5,37,5,6,4,8,25,6,8,6,11,4,14,3,38,7,33,7,21,4,10,6,4,23,37,7,1,46,5,6,6,3,9,8,2,8,9,15,21,5,4,24,60,32
