"","T1","T2","T3","T4","T5","T6","T7"
"S1",7,7,0,0,7,0,0
"S2",3,0,9,10,0,0,0
"S3",0,0,0,26,0,0,0
"S4",0,0,0,0,24,0,0
"S5",0,0,0,1,0,7,7
"S6",0,18,0,0,0,9,0
"S7",0,0,0,0,1,27,0
"S8",0,16,0,9,0,0,0
"S9",0,0,2,0,30,0,0
"S10",0,16,0,0,10,0,0
"S11",5,1,1,0,0,16,0
"S12",13,0,11,2,0,0,0
"S13",0,10,16,1,0,0,0
"S14",0,0,1,0,0,29,0
"S15",0,12,0,0,6,8,0
"S16",0,0,16,0,0,12,0
"S17",0,0,9,2,0,14,0
"S18",0,0,30,0,1,0,0
"S19",0,0,9,0,14,0,0
"S20",0,20,0,0,0,0,0
"S21",0,0,0,14,0,10,0
"S22",18,0,5,0,0,0,0
"S23",6,0,0,8,4,0,0
"S24",0,0,0,17,0,16,0
"S25",0,8,0,0,3,9,0
"S26",0,0,0,19,1,0,0
"S27",4,12,0,0,0,7,0
"S28",0,0,24,0,3,0,0
"S29",10,11,0,0,7,0,0
"S30",0,0,0,18,0,0,0
"S31",0,0,3,0,0,25,0
"S32",0,12,4,8,0,0,1
"S33",0,0,0,0,20,0,2
"S34",7,0,0,10,15,0,0
"S35",17,0,3,0,2,0,0
"S36",23,0,7,0,0,0,0
"S37",0,0,7,4,9,0,0
"S38",0,21,0,0,0,11,1
"S39",0,18,0,9,0,0,0
"S40",0,0,0,0,12,10,0
"S41",12,8,0,0,0,0,0
"S42",8,0,0,11,0,0,0
"S43",0,0,24,0,0,0,0
"S44",17,1,0,5,0,0,0
"S45",0,0,1,0,6,20,0
"S46",3,14,6,0,0,0,0
"S47",0,0,0,39,0,0,0
"S48",2,0,0,13,0,0,0
"S49",0,8,4,8,5,9,0
"S50",0,1,11,0,8,0,0
"S51",0,0,0,3,23,9,0
"S52",0,2,0,0,26,0,0
"S53",6,0,0,8,0,6,0
"S54",1,6,0,0,11,8,0
"S55",4,0,5,6,4,0,0
"S56",0,0,0,0,26,0,0
"S57",9,0,0,0,0,10,0
"S58",9,0,0,8,0,0,0
"S59",5,0,0,0,20,0,0
"S60",0,5,11,10,0,0,0
"S61",0,9,0,4,3,7,0
"S62",0,6,14,0,4,0,0
"S63",0,0,0,28,0,0,0
"S64",9,20,0,0,0,0,0
"S65",0,0,0,9,0,12,0
"S66",0,0,0,26,0,0,0
"S67",5,0,0,7,0,6,0
"S68",0,25,0,0,0,1,0
"S69",0,1,1,0,15,10,0
"S70",0,15,15,0,0,4,0
"S71",7,0,6,6,5,0,0
"S72",0,12,2,0,8,8,0
"S73",9,0,0,11,0,0,0
"S74",22,12,0,0,0,0,0
"S75",0,0,7,0,12,0,0
"S76",1,14,0,8,5,0,0
"S77",0,0,1,16,0,0,1
"S78",0,12,14,0,0,0,0
