"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440","V441","V442","V443","V444","V445","V446","V447","V448","V449","V450","V451","V452","V453","V454","V455","V456","V457","V458","V459","V460","V461","V462","V463","V464","V465","V466","V467","V468","V469","V470","V471","V472","V473","V474","V475","V476","V477","V478","V479","V480","V481","V482","V483","V484","V485","V486","V487","V488","V489","V490","V491","V492","V493","V494","V495","V496","V497","V498","V499","V500"
"1",7,4,19,4,7,9,2,5,15,12,8,4,4,3,2,7,7,5,13,4,4,3,1,8,3,5,5,8,6,2,1,9,14,1,9,4,9,4,2,4,4,6,5,8,5,7,5,0,2,5,4,7,14,3,4,13,4,2,7,10,4,6,8,7,3,4,1,6,3,4,9,3,19,3,3,13,3,12,2,3,8,5,7,18,8,11,5,4,6,3,0,3,22,1,5,13,9,5,7,25,2,8,12,4,9,15,7,12,2,5,11,9,7,4,8,8,2,7,4,11,12,9,3,2,7,8,2,4,4,8,1,8,3,6,8,16,1,14,4,5,3,4,2,8,9,9,4,3,22,5,7,2,2,2,4,5,21,5,6,18,8,17,5,0,11,5,1,4,9,6,4,1,3,0,7,15,4,1,0,11,20,8,10,3,2,11,12,6,2,5,3,3,1,7,6,4,17,4,7,10,11,3,9,8,4,1,6,6,5,0,4,0,9,2,11,4,1,5,3,9,10,6,5,10,7,1,12,6,13,2,2,4,4,6,12,10,8,8,13,1,9,3,10,7,6,6,1,15,7,7,5,2,12,9,5,1,9,10,7,6,5,2,4,10,5,6,3,1,2,6,6,13,6,9,9,8,3,10,20,19,8,5,5,10,2,7,3,13,8,7,1,5,5,16,7,3,9,5,2,9,4,4,8,3,4,3,11,5,12,4,5,5,2,2,7,7,3,8,8,4,4,5,2,2,11,12,3,25,8,4,7,2,9,4,4,19,7,7,4,4,8,6,9,8,11,19,3,11,8,14,13,14,5,3,3,8,2,7,5,7,3,8,8,4,7,17,18,2,4,6,11,2,6,9,6,3,17,7,8,6,1,26,16,4,3,7,13,14,7,18,11,8,8,7,3,13,4,6,5,7,5,16,13,5,11,12,9,6,14,4,5,4,4,8,12,19,8,4,10,2,0,3,4,5,6,10,11,2,0,2,15,6,15,6,19,3,8,3,2,5,13,6,1,10,4,4,10,4,7,4,4,5,7,11,9,5,20,4,8,5,23,9,10,3,3,6,5,4,6,5,5,6,9,19,4,4,6,18,7,3,11,6,11,9,2,7,5,15,13,8,12,11,7,8,19,7,5,13,1,2
"2",8,8,18,3,5,5,2,5,16,21,16,4,5,3,3,5,3,4,9,5,6,5,5,5,3,7,3,4,2,4,2,7,18,2,12,8,4,5,3,3,3,2,7,15,2,4,5,9,7,1,5,3,21,6,8,31,6,3,11,16,5,5,7,7,1,2,2,8,6,10,7,4,22,1,12,7,5,12,1,4,10,5,11,19,8,7,3,7,6,5,1,4,25,5,14,8,11,7,7,11,6,10,8,4,1,17,8,7,4,6,4,4,9,5,7,13,5,7,2,6,13,14,1,7,4,4,2,2,9,4,3,1,4,3,4,12,9,26,9,3,2,2,2,9,19,5,3,6,10,8,8,3,4,5,4,6,26,7,6,21,13,26,9,1,5,6,1,4,5,1,12,1,3,3,4,25,4,5,5,7,22,13,8,2,2,14,20,6,4,3,9,2,7,8,2,0,29,2,5,3,7,8,5,6,3,6,7,6,2,2,5,5,6,6,15,5,2,6,6,6,5,8,3,9,10,6,10,12,15,3,2,9,7,7,22,11,7,10,9,7,16,5,8,4,7,2,4,24,7,12,3,5,17,1,1,0,6,3,3,13,3,6,5,12,10,10,8,4,3,10,3,9,8,8,11,2,8,16,8,19,6,5,7,9,9,4,0,6,13,3,3,6,2,14,6,5,7,4,3,5,5,7,6,16,8,6,7,4,12,8,2,2,2,2,3,4,5,10,4,4,4,5,2,0,12,9,5,24,7,4,4,8,13,6,10,16,4,7,8,5,4,6,8,7,5,25,8,12,21,14,16,24,2,4,6,5,5,7,1,10,4,8,9,14,9,32,13,6,0,10,7,1,5,5,6,2,18,6,8,14,1,29,24,9,7,10,21,16,5,23,7,15,3,14,16,13,2,9,5,9,3,10,14,11,22,5,2,3,15,7,3,4,3,3,24,20,10,5,9,5,3,6,4,1,8,11,19,3,2,6,18,5,13,3,17,2,4,3,8,1,18,5,2,12,5,1,18,8,4,2,4,12,4,9,6,6,13,6,13,2,24,14,7,2,13,3,2,2,10,3,6,8,6,14,2,5,4,29,9,6,11,7,2,13,2,6,2,20,7,11,9,11,8,6,16,10,5,11,7,2
"3",12,10,42,8,11,6,2,0,24,21,27,2,3,1,4,1,6,11,6,9,8,4,3,4,5,5,3,4,2,4,1,4,21,5,7,10,12,7,8,6,5,3,10,21,3,6,3,3,5,1,2,6,31,0,7,53,8,4,19,5,10,7,19,4,3,1,6,15,3,3,8,6,36,1,13,4,4,6,4,4,13,5,10,21,20,10,6,0,5,7,1,5,46,7,15,10,10,6,5,30,11,10,4,3,3,19,11,10,1,1,5,2,3,1,8,5,4,4,3,2,15,22,2,6,6,10,8,14,13,5,1,3,4,13,6,27,1,24,20,2,5,3,2,4,35,7,6,3,28,6,10,5,6,6,3,7,50,11,5,25,21,44,6,3,16,10,2,10,3,7,8,1,5,0,7,31,7,3,3,9,38,12,18,5,1,20,20,6,3,8,9,3,5,8,9,7,48,4,4,6,8,2,3,17,4,1,14,9,6,7,2,7,4,2,21,4,2,11,2,8,9,12,6,6,15,5,14,17,23,3,3,4,3,3,11,14,8,23,6,3,17,8,9,8,5,8,2,37,6,8,6,7,23,11,6,0,9,5,5,17,5,3,0,21,3,6,1,1,8,2,3,14,3,12,10,7,3,25,30,30,4,3,12,12,6,6,5,8,14,3,7,19,6,42,1,4,17,8,5,7,2,2,6,19,6,1,10,9,18,5,3,10,5,1,9,6,8,5,4,1,6,5,1,1,15,9,5,35,8,2,6,8,24,0,5,30,2,6,7,7,4,4,11,9,12,21,4,20,21,24,22,22,7,2,1,10,4,4,2,6,4,18,6,27,10,43,27,12,3,6,15,2,0,17,8,5,25,6,16,8,4,29,40,7,10,8,26,34,5,41,19,15,5,11,26,30,6,5,5,3,4,23,29,10,27,10,4,5,15,8,2,12,1,3,21,36,4,7,17,4,4,4,9,2,7,14,24,3,5,4,21,4,22,15,17,4,6,3,7,3,18,5,1,21,4,3,16,3,5,7,2,3,8,12,7,6,34,4,6,5,41,23,2,8,14,8,3,9,5,4,6,16,1,25,4,4,7,44,6,1,4,4,7,17,1,20,6,27,8,19,12,6,13,6,48,9,6,16,4,4
"4",9,7,28,3,6,5,3,2,22,14,13,3,9,2,7,6,5,11,12,9,9,6,5,4,5,4,4,5,4,2,7,12,15,1,8,3,7,6,5,3,4,5,10,28,5,6,6,9,8,4,5,8,22,2,7,43,3,3,3,9,5,10,13,7,4,4,2,10,6,5,16,6,16,2,7,9,5,9,3,3,7,8,18,28,15,12,2,3,6,3,3,6,25,2,8,8,10,7,3,25,5,8,2,3,4,23,15,9,6,3,7,4,4,2,7,10,3,5,0,6,16,15,4,9,7,10,2,4,15,4,1,3,3,9,10,26,3,20,8,3,12,4,4,7,18,3,4,6,20,15,7,6,7,5,1,7,32,11,6,16,17,37,12,2,8,3,4,10,5,11,7,2,5,2,6,39,8,3,3,17,25,11,13,5,3,14,26,8,3,3,11,1,8,12,13,7,22,2,3,9,12,7,2,9,1,4,12,4,4,4,9,4,9,3,16,5,4,12,6,5,10,10,4,15,16,4,8,20,13,2,4,5,2,2,17,12,7,14,4,6,11,7,12,6,6,6,0,32,5,10,4,7,19,9,4,0,4,10,3,20,4,5,7,15,7,4,1,1,8,5,4,17,7,10,7,4,2,16,17,15,6,10,4,9,2,17,1,5,18,9,5,8,4,25,7,4,4,6,2,4,2,6,6,9,5,4,5,8,10,4,2,5,3,2,4,7,6,8,2,7,4,2,1,2,14,6,3,41,9,7,3,4,15,1,4,19,8,3,5,6,7,4,7,10,13,20,3,20,16,20,15,29,4,3,1,4,3,5,3,10,11,10,3,21,10,31,28,3,6,2,6,7,7,14,9,4,29,2,10,11,6,23,36,8,10,9,30,18,4,30,17,10,3,13,28,8,2,7,2,4,2,18,16,3,32,6,3,5,19,7,2,8,4,1,17,30,6,7,9,2,4,4,7,1,3,9,23,5,4,5,16,5,31,15,25,1,2,2,7,1,15,3,2,9,6,3,16,5,8,3,5,8,4,9,3,12,27,4,12,5,26,22,10,4,13,7,7,3,3,5,6,11,8,19,3,1,5,34,7,3,8,6,3,10,2,14,1,23,12,18,18,6,7,5,29,6,4,15,4,7
"5",6,8,21,5,4,6,1,3,20,10,12,1,5,0,5,4,4,11,10,7,7,5,7,5,5,8,4,8,5,2,3,6,7,1,5,3,3,11,4,7,3,7,4,15,7,4,3,10,7,3,4,4,18,2,5,26,6,3,7,9,2,6,9,7,9,10,3,6,10,6,7,3,15,4,12,12,4,7,6,5,9,7,9,16,6,8,1,5,4,3,2,4,16,3,10,7,15,7,6,23,8,9,5,2,3,16,3,6,3,5,3,6,2,3,10,7,1,5,3,15,8,12,2,5,9,6,8,7,7,5,2,3,5,3,7,16,5,13,7,6,4,0,5,8,20,8,3,6,25,10,11,2,6,6,3,7,32,6,11,12,13,17,6,2,9,9,3,8,3,7,8,1,6,3,3,17,9,5,2,10,27,7,4,5,4,13,20,5,1,8,8,6,3,7,7,6,18,3,2,2,15,3,6,9,4,3,2,5,8,4,7,3,9,3,16,11,4,5,8,13,3,5,1,6,10,4,15,20,20,1,4,5,4,5,11,12,1,14,11,5,9,7,15,3,2,5,0,21,6,4,2,5,13,6,2,0,3,4,7,11,5,5,5,8,6,6,5,3,11,5,7,13,7,6,6,2,2,16,9,15,7,3,5,10,1,9,2,8,10,10,6,5,9,15,2,1,4,6,5,4,5,4,5,10,6,7,11,7,13,10,5,3,6,4,8,3,2,9,5,2,1,6,3,4,3,6,2,18,4,2,4,5,12,5,5,13,11,2,7,5,6,3,7,7,8,14,7,14,13,14,12,17,0,3,1,5,7,8,0,7,4,7,4,12,7,30,19,6,1,7,7,1,5,10,5,5,15,3,11,8,4,18,22,6,10,7,15,17,13,18,14,6,7,10,19,11,1,7,9,8,2,10,12,7,16,8,9,5,10,15,1,2,1,2,14,20,8,7,6,1,3,7,7,4,5,8,20,3,4,4,10,4,10,6,7,2,5,2,6,2,9,5,3,14,3,7,20,6,5,6,4,1,5,7,3,4,19,9,6,0,18,8,5,4,9,5,2,3,7,4,6,6,6,17,3,5,6,16,6,4,4,5,7,8,4,9,6,22,12,11,12,9,7,6,16,5,4,10,4,6
"6",10,5,23,6,9,5,5,3,12,10,7,2,5,3,6,7,5,6,9,6,11,3,2,4,7,6,1,4,6,0,2,8,6,3,3,9,6,5,2,6,3,0,6,19,5,2,8,4,15,2,5,5,10,3,5,21,11,3,8,10,8,5,9,7,7,9,4,10,6,10,4,9,18,3,8,8,2,8,4,4,15,4,7,9,13,15,0,5,9,4,3,3,22,3,13,10,13,6,2,15,2,7,8,3,5,17,4,11,5,6,4,2,7,1,6,4,2,7,5,5,6,14,6,9,3,5,6,4,4,3,3,3,3,7,9,9,8,9,6,5,3,2,6,10,13,5,4,4,14,9,6,4,3,8,6,5,17,9,7,12,14,17,9,1,8,2,3,6,7,6,9,1,5,1,5,19,5,11,0,6,21,6,9,6,1,18,11,3,6,4,16,1,2,6,8,6,18,4,5,8,9,9,4,9,5,2,5,13,4,3,4,2,3,3,16,3,3,7,4,8,7,4,3,10,9,3,7,7,24,3,2,8,4,5,12,9,4,5,6,3,10,3,8,6,6,5,2,19,6,6,1,5,11,12,4,0,8,9,9,8,8,5,3,4,6,10,7,2,8,4,3,10,1,6,9,3,8,11,14,12,8,8,6,10,5,12,4,5,8,6,5,5,8,14,6,4,5,6,1,8,8,4,8,3,10,3,8,11,7,5,3,6,2,1,6,7,5,13,6,2,4,5,6,8,15,4,5,21,4,8,2,5,6,2,5,18,9,7,5,4,7,3,5,4,6,18,9,9,18,6,17,14,6,5,0,7,5,13,1,8,8,6,8,19,4,33,15,2,4,4,7,5,2,8,5,3,17,10,4,10,1,13,18,3,8,8,11,13,7,28,9,11,2,8,14,21,4,4,5,6,1,16,22,8,19,3,6,0,7,6,3,8,3,1,21,20,8,5,8,4,2,10,5,3,3,7,13,2,5,4,5,6,17,6,12,3,7,2,7,3,9,5,1,14,8,2,15,4,1,2,5,5,4,9,4,5,18,1,4,5,20,7,8,3,7,3,3,6,6,6,8,6,10,13,3,7,4,20,6,3,7,5,3,9,1,14,2,18,6,10,12,6,10,4,11,5,3,10,2,4
"7",10,7,26,5,5,5,3,2,22,11,13,5,6,2,7,7,4,8,18,2,4,9,7,4,5,2,3,9,4,1,0,9,13,1,6,5,7,4,5,3,5,8,6,24,4,2,4,3,6,3,3,2,28,0,6,32,3,4,13,11,7,9,12,7,3,5,2,7,3,9,12,3,25,3,5,7,3,13,0,5,12,7,15,19,11,18,6,1,7,7,6,8,31,6,13,2,10,6,2,25,10,6,8,5,5,21,10,19,10,5,14,4,4,3,4,7,2,6,2,4,12,11,3,7,4,10,2,6,7,6,8,6,4,4,4,23,8,13,12,3,4,4,4,10,26,4,1,2,40,10,13,3,9,5,2,4,37,6,9,14,23,32,4,2,12,11,4,7,6,4,8,0,5,6,11,31,5,5,1,17,32,10,6,8,7,16,27,10,1,5,10,4,5,8,4,8,26,4,3,7,5,5,3,9,4,6,6,8,5,1,5,5,7,9,18,6,6,7,4,5,16,3,9,11,17,6,9,11,19,0,1,7,2,7,9,6,5,19,7,7,10,7,10,8,11,7,2,27,7,1,5,6,22,5,6,1,6,9,3,9,3,3,2,19,6,10,4,0,3,2,5,11,7,7,10,5,3,19,20,19,4,3,4,9,8,7,3,6,18,4,6,9,4,29,6,3,7,1,2,8,6,8,3,4,9,5,5,4,18,7,3,6,0,0,5,5,6,5,6,2,6,5,0,3,6,15,5,31,14,6,7,3,16,2,7,24,8,6,1,3,2,4,8,11,12,21,3,13,18,18,15,18,2,3,4,6,4,6,3,10,8,8,3,21,13,24,22,4,0,10,10,4,3,16,12,4,25,5,13,14,1,22,28,5,5,12,17,22,8,32,12,16,6,13,33,18,4,15,8,6,2,12,25,4,20,6,4,4,20,7,1,5,3,5,17,24,10,3,6,1,5,8,1,1,4,6,9,12,7,6,18,5,23,8,14,4,7,2,8,2,16,3,1,17,5,3,13,1,6,3,2,4,6,9,7,4,24,5,8,7,25,20,4,2,8,11,5,6,2,10,1,20,3,20,5,7,2,31,12,6,8,7,3,17,3,17,2,18,12,11,22,4,8,6,18,6,3,11,4,5
"8",10,11,25,4,6,6,6,3,16,12,20,4,5,4,4,6,2,9,8,6,11,1,5,7,7,5,1,6,4,3,1,13,13,1,12,7,16,8,3,3,2,4,13,21,2,4,3,8,3,2,2,3,22,3,3,20,8,4,13,15,7,8,17,6,9,6,3,13,6,5,12,5,22,4,12,10,6,10,5,4,11,10,12,22,9,12,1,2,4,5,6,6,24,0,10,7,12,3,3,12,8,19,3,4,7,23,8,4,9,3,7,5,4,3,2,7,0,7,4,1,12,23,1,13,6,13,3,6,9,3,0,6,4,7,8,15,9,14,8,4,1,1,1,4,20,3,3,0,23,7,12,7,7,4,6,7,24,7,5,20,10,30,7,3,10,6,5,2,2,3,3,1,10,1,8,32,7,5,2,7,21,5,1,5,3,13,25,9,7,2,10,0,2,10,9,3,18,4,7,5,9,3,2,13,1,7,7,13,5,4,2,7,7,8,8,6,5,13,6,3,6,10,4,18,14,4,8,20,22,2,0,2,4,5,9,10,4,12,9,6,7,8,11,4,2,5,0,20,8,9,6,5,22,7,3,1,2,9,3,8,6,4,0,13,10,6,2,2,8,1,5,13,1,10,9,3,3,16,19,20,5,3,3,9,4,6,3,13,6,8,4,13,5,23,6,1,11,4,6,7,9,2,2,6,11,5,7,4,16,6,3,2,2,6,6,4,4,10,4,6,2,2,0,4,12,12,5,29,7,8,4,3,10,2,3,23,4,6,6,6,3,2,8,6,7,20,3,13,13,11,17,16,4,6,6,8,10,6,1,7,4,9,5,17,7,34,17,3,1,3,10,4,4,16,9,1,22,6,18,18,2,25,26,6,8,7,14,19,12,27,7,12,3,14,14,10,4,8,5,8,2,15,18,2,21,9,7,1,9,5,2,9,4,2,17,24,5,5,8,3,4,3,9,2,6,10,18,5,1,11,17,3,19,7,15,5,4,5,4,0,12,6,4,22,8,4,9,4,8,4,6,6,4,8,1,8,27,5,6,8,23,7,5,7,6,5,5,10,6,4,5,14,6,17,2,3,7,34,5,6,7,5,8,8,8,6,6,16,10,14,15,9,8,3,27,8,4,13,4,5
"9",7,10,24,9,8,5,2,2,14,9,12,5,4,5,2,8,6,8,7,10,8,7,7,8,4,3,1,9,1,5,2,9,19,1,8,5,9,9,8,7,2,4,7,17,3,2,4,5,7,3,6,2,15,3,6,31,8,2,11,18,2,2,13,2,5,7,2,6,3,6,8,8,22,1,4,7,0,16,3,3,5,7,8,16,16,9,1,5,8,2,12,6,15,5,5,8,12,7,2,24,4,3,7,2,5,18,7,10,8,5,8,8,5,1,7,7,2,11,1,5,8,9,3,6,3,10,4,2,5,4,3,8,9,5,3,23,5,12,10,4,3,1,3,13,18,10,4,2,28,10,0,7,5,4,2,5,22,9,10,20,9,16,5,4,4,9,2,6,5,5,3,2,3,2,6,24,2,5,1,9,26,10,7,6,7,13,17,7,7,3,8,1,4,9,10,10,15,2,5,8,5,7,2,10,3,8,7,5,4,2,7,6,5,7,9,6,3,6,4,11,8,8,4,16,10,3,10,11,16,3,2,3,0,4,9,11,5,13,3,3,9,3,6,9,8,3,2,23,5,5,2,3,10,6,4,0,6,8,3,10,0,1,2,7,1,11,5,4,8,3,6,10,5,7,17,3,1,19,9,12,4,5,7,15,7,9,3,9,6,10,9,8,4,14,10,4,3,7,1,6,3,0,1,11,3,3,10,8,14,4,2,4,4,1,1,4,3,12,4,3,2,10,0,4,14,10,1,26,9,7,3,6,17,6,6,20,6,5,7,7,3,4,5,7,13,13,3,11,13,14,12,12,3,1,3,5,2,5,6,6,5,6,5,14,6,20,23,4,1,6,7,5,2,13,6,1,21,7,11,9,2,17,37,6,9,9,14,15,12,24,14,15,3,10,14,10,7,5,3,6,3,11,13,3,14,5,4,4,10,5,3,7,2,5,21,25,2,9,4,1,4,3,7,1,4,11,25,2,4,10,11,2,13,7,16,7,6,5,6,2,12,2,0,10,9,6,11,5,4,7,4,3,8,6,4,10,17,3,9,6,24,10,4,4,9,3,4,5,3,11,5,9,4,15,3,4,6,27,9,3,5,4,5,19,2,7,8,19,9,11,11,10,8,2,17,2,8,16,2,4
"10",6,5,9,5,3,9,5,2,14,4,12,2,2,2,2,10,6,2,5,6,2,6,4,8,3,6,4,8,2,3,4,12,11,4,7,4,7,4,2,2,0,8,2,8,4,4,5,8,6,1,5,6,20,4,3,15,5,4,9,9,6,6,9,6,4,2,3,6,5,6,9,9,17,4,9,6,2,9,4,2,10,3,7,14,7,12,4,4,15,2,5,4,13,2,10,9,9,5,1,16,8,5,7,4,3,15,3,4,5,9,7,5,5,0,4,7,2,6,1,8,15,9,2,9,1,6,3,1,8,4,4,6,2,12,3,14,5,6,5,2,2,2,4,2,12,10,3,2,10,12,8,6,7,3,9,5,16,5,6,21,17,14,7,3,9,10,2,9,6,6,5,1,4,1,13,15,7,5,0,10,16,6,4,5,4,12,14,7,1,3,8,5,3,11,8,7,18,4,4,4,8,4,7,7,5,11,8,11,7,1,9,7,8,2,7,4,2,6,8,2,2,7,3,15,11,3,14,11,16,0,4,7,5,4,5,10,4,13,13,6,3,5,3,4,4,7,0,14,4,4,2,8,8,5,3,3,6,4,8,10,3,6,3,6,5,7,3,3,9,4,1,7,6,4,3,6,4,12,6,13,8,5,3,12,5,6,2,12,4,4,1,10,1,14,3,1,8,11,3,8,4,5,3,8,4,5,5,4,9,6,4,6,5,3,7,5,5,11,5,4,6,4,2,0,16,2,2,13,6,4,2,7,11,4,4,16,4,5,2,8,9,10,10,9,11,21,4,7,9,7,10,9,5,3,4,5,3,5,3,9,5,6,6,14,7,12,8,3,1,6,10,5,3,10,8,2,10,7,7,6,1,18,23,1,7,2,13,22,8,17,7,6,1,10,19,10,6,6,4,11,3,11,10,5,12,3,13,5,10,3,1,6,3,2,7,25,3,6,4,5,4,8,6,0,3,4,18,5,5,10,9,3,11,10,9,2,6,3,3,2,8,5,1,12,2,4,10,5,5,8,4,5,12,8,11,5,14,1,5,4,17,12,4,8,4,5,8,5,9,3,3,4,2,11,2,5,8,18,5,4,10,4,3,12,2,4,1,6,12,8,13,6,11,5,13,6,5,7,3,8
