"","T1","T2","T3","T4","T5","T6","T7"
"S1",0,0,0,0,0,11,0
"S2",0,0,9,0,0,0,0
"S3",4,0,0,0,0,6,0
"S4",0,1,0,0,0,3,3
"S5",3,0,0,3,2,0,0
"S6",1,0,2,0,8,0,0
"S7",0,13,0,0,0,0,0
"S8",2,0,0,0,7,0,0
"S9",0,0,4,0,4,0,0
"S10",2,2,1,0,0,3,0
"S11",0,0,0,0,0,8,0
"S12",0,5,0,0,0,5,0
"S13",7,0,0,2,0,1,0
"S14",0,0,5,3,0,5,0
"S15",1,0,2,0,0,2,0
"S16",3,0,0,0,0,0,0
"S17",3,0,1,4,0,0,0
"S18",0,3,0,4,0,0,0
"S19",0,0,0,0,14,0,1
"S20",0,2,7,0,0,0,0
"S21",5,0,0,6,0,5,0
"S22",0,0,0,0,0,11,0
"S23",0,0,0,0,0,8,0
"S24",0,0,0,0,10,0,0
"S25",12,0,0,0,0,0,0
"S26",0,6,3,0,0,0,0
"S27",1,0,0,1,4,0,0
"S28",4,0,5,0,0,0,0
"S29",20,0,0,0,0,0,0
"S30",0,0,0,8,0,0,1
"S31",0,0,0,0,5,0,0
"S32",0,1,1,1,0,3,0
"S33",3,4,0,0,3,0,0
"S34",0,0,4,0,0,3,0
"S35",0,0,1,7,0,0,0
"S36",0,2,0,0,5,1,0
"S37",3,7,0,0,0,0,0
"S38",0,0,9,7,1,0,0
"S39",10,0,1,0,5,0,0
"S40",0,0,0,0,0,11,0
"S41",0,0,3,8,0,0,0
"S42",4,2,2,0,0,0,0
"S43",3,0,0,0,4,0,0
"S44",3,0,0,0,5,0,0
"S45",7,5,0,0,0,0,0
"S46",0,0,0,0,0,16,0
"S47",13,0,2,0,0,0,0
"S48",9,0,1,0,0,0,0
"S49",0,0,0,6,0,1,0
"S50",0,3,2,0,0,2,0
"S51",1,0,0,3,0,3,0
"S52",0,0,2,0,3,0,0
"S53",3,0,2,4,0,0,0
"S54",0,5,3,1,0,3,0
"S55",1,0,1,0,0,2,0
"S56",0,0,0,0,11,0,0
"S57",3,9,0,0,0,0,0
"S58",4,0,7,0,0,0,0
"S59",0,0,0,9,0,0,0
"S60",0,4,0,0,7,0,0
"S61",8,0,0,0,0,1,0
"S62",3,5,0,2,3,1,0
"S63",0,0,0,0,7,0,0
"S64",0,0,6,0,1,6,0
"S65",0,0,0,1,2,4,0
"S66",5,0,4,5,0,0,0
"S67",0,0,0,4,7,3,0
"S68",0,0,0,12,0,0,0
"S69",0,6,0,0,5,1,0
"S70",17,0,0,0,0,0,0
"S71",0,0,0,0,0,12,0
"S72",0,0,0,5,0,2,0
"S73",0,4,0,3,0,1,0
"S74",0,3,0,1,3,0,0
"S75",16,0,0,0,0,0,0
"S76",0,0,4,0,0,2,0
"S77",1,5,0,2,0,7,0
"S78",0,0,4,6,0,0,0
"S79",3,0,0,15,0,0,0
"S80",0,0,0,1,8,0,0
"S81",0,0,0,7,0,1,0
"S82",6,6,0,0,0,0,0
"S83",0,0,0,2,6,0,0
"S84",0,0,12,0,0,0,0
"S85",0,0,0,8,1,0,1
"S86",6,0,0,0,0,7,0
"S87",0,1,5,5,0,0,0
"S88",0,0,10,0,0,0,0
"S89",0,0,0,0,3,4,0
"S90",0,0,0,0,13,0,1
"S91",0,0,0,18,0,0,0
"S92",0,0,7,0,0,3,0
"S93",0,0,14,0,0,0,0
"S94",10,0,0,0,0,0,0
"S95",0,1,5,7,0,0,0
"S96",0,0,7,0,0,0,1
"S97",10,0,0,0,0,0,0
"S98",1,0,7,6,0,0,0
"S99",1,0,0,0,1,1,1
"S100",7,6,0,0,0,3,0
"S101",0,0,7,0,0,0,0
"S102",0,4,0,4,5,0,0
